108, 11, 0, Bask, Pyr, GABA
109, 11, 0, Bask, Pyr, GABA
110, 11, 0, Bask, Pyr, GABA
111, 11, 0, Bask, Pyr, GABA
112, 11, 0, Bask, Pyr, GABA
113, 11, 0, Bask, Pyr, GABA
114, 11, 0, Bask, Pyr, GABA
115, 11, 0, Bask, Pyr, GABA
116, 11, 0, Bask, Pyr, GABA
117, 11, 0, Bask, Pyr, GABA
118, 11, 0, Bask, Pyr, GABA
119, 11, 0, Bask, Pyr, GABA
120, 11, 0, Bask, Pyr, GABA
101, 12, 0, Bask, Pyr, GABA
102, 12, 0, Bask, Pyr, GABA
103, 12, 0, Bask, Pyr, GABA
104, 12, 0, Bask, Pyr, GABA
105, 12, 0, Bask, Pyr, GABA
106, 12, 0, Bask, Pyr, GABA
107, 12, 0, Bask, Pyr, GABA
108, 12, 0, Bask, Pyr, GABA
109, 12, 0, Bask, Pyr, GABA
110, 12, 0, Bask, Pyr, GABA
111, 12, 0, Bask, Pyr, GABA
112, 12, 0, Bask, Pyr, GABA
113, 12, 0, Bask, Pyr, GABA
114, 12, 0, Bask, Pyr, GABA
115, 12, 0, Bask, Pyr, GABA
116, 12, 0, Bask, Pyr, GABA
117, 12, 0, Bask, Pyr, GABA
118, 12, 0, Bask, Pyr, GABA
119, 12, 0, Bask, Pyr, GABA
120, 12, 0, Bask, Pyr, GABA
101, 13, 0, Bask, Pyr, GABA
102, 13, 0, Bask, Pyr, GABA
103, 13, 0, Bask, Pyr, GABA
104, 13, 0, Bask, Pyr, GABA
105, 13, 0, Bask, Pyr, GABA
106, 13, 0, Bask, Pyr, GABA
107, 13, 0, Bask, Pyr, GABA
108, 13, 0, Bask, Pyr, GABA
109, 13, 0, Bask, Pyr, GABA
110, 13, 0, Bask, Pyr, GABA
111, 13, 0, Bask, Pyr, GABA
112, 13, 0, Bask, Pyr, GABA
113, 13, 0, Bask, Pyr, GABA
114, 13, 0, Bask, Pyr, GABA
115, 13, 0, Bask, Pyr, GABA
116, 13, 0, Bask, Pyr, GABA
117, 13, 0, Bask, Pyr, GABA
118, 13, 0, Bask, Pyr, GABA
119, 13, 0, Bask, Pyr, GABA
120, 13, 0, Bask, Pyr, GABA
101, 14, 0, Bask, Pyr, GABA
102, 14, 0, Bask, Pyr, GABA
103, 14, 0, Bask, Pyr, GABA
104, 14, 0, Bask, Pyr, GABA
105, 14, 0, Bask, Pyr, GABA
106, 14, 0, Bask, Pyr, GABA
107, 14, 0, Bask, Pyr, GABA
108, 14, 0, Bask, Pyr, GABA
109, 14, 0, Bask, Pyr, GABA
110, 14, 0, Bask, Pyr, GABA
111, 14, 0, Bask, Pyr, GABA
112, 14, 0, Bask, Pyr, GABA
113, 14, 0, Bask, Pyr, GABA
114, 14, 0, Bask, Pyr, GABA
115, 14, 0, Bask, Pyr, GABA
116, 14, 0, Bask, Pyr, GABA
117, 14, 0, Bask, Pyr, GABA
118, 14, 0, Bask, Pyr, GABA
119, 14, 0, Bask, Pyr, GABA
120, 14, 0, Bask, Pyr, GABA
101, 15, 0, Bask, Pyr, GABA
102, 15, 0, Bask, Pyr, GABA
103, 15, 0, Bask, Pyr, GABA
104, 15, 0, Bask, Pyr, GABA
105, 15, 0, Bask, Pyr, GABA
106, 15, 0, Bask, Pyr, GABA
107, 15, 0, Bask, Pyr, GABA
108, 15, 0, Bask, Pyr, GABA
109, 15, 0, Bask, Pyr, GABA
110, 15, 0, Bask, Pyr, GABA
111, 15, 0, Bask, Pyr, GABA
112, 15, 0, Bask, Pyr, GABA
